sheet_index,total_items,used_area_px,printable_area_px,waste_area_px,efficiency_percent
1,4,2986175.2433667067,4103368.136896273,1117192.8935295665,72.77
2,3,2726985.4075092524,4103368.136896273,1376382.7293870207,66.46
3,2,2408853.607851443,4103368.136896273,1694514.5290448302,58.7
4,2,2519494.557527328,4103368.136896273,1583873.5793689452,61.4
5,2,1570909.1695668907,4103368.136896273,2532458.9673293824,38.28
6,2,1274774.0385753913,4103368.136896273,2828594.098320882,31.07
7,2,1274668.2888249634,4103368.136896273,2828699.8480713097,31.06
8,2,1150020.4573194454,4103368.136896273,2953347.6795768277,28.03
9,2,1142496.8566434789,4103368.136896273,2960871.2802527943,27.84
10,4,1216802.080674121,4103368.136896273,2886566.056222152,29.65
11,3,920625.8572860898,4103368.136896273,3182742.279610183,22.44
12,2,773436.6147427824,4103368.136896273,3329931.5221534907,18.85
13,3,980326.9256857473,4103368.136896273,3123041.2112105256,23.89
14,2,550981.628231153,4103368.136896273,3552386.50866512,13.43
15,2,550378.1349414808,4103368.136896273,3552990.001954792,13.41
16,5,991989.0147587063,4103368.136896273,3111379.122137567,24.17
17,2,229439.96517775295,4103368.136896273,3873928.17171852,5.59
TOTAL / AVG,44,23268357.848682735,69757258.32723664,46488900.47855391,33.36
